,Concurso,Data ,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,G15_Num,G14_num,Val15,Val14
0,1.0,29/09/2003,18.0,20.0,25.0,23.0,10.0,11.0,24.0,14.0,6.0,2.0,13.0,9.0,5.0,16.0,3.0,5.0,154.0,"49.765,82",689
1,2.0,06/10/2003,23.0,15.0,5.0,4.0,12.0,16.0,20.0,6.0,11.0,19.0,24.0,1.0,9.0,13.0,7.0,1.0,184.0,"596.323,70","1.388,00"
2,3.0,13/10/2003,20.0,23.0,12.0,8.0,6.0,1.0,7.0,11.0,14.0,4.0,16.0,10.0,9.0,17.0,24.0,2.0,158.0,"400.623,70","2.173,00"
4,4.0,20/10/2003,16.0,5.0,25.0,24.0,23.0,8.0,12.0,2.0,17.0,18.0,1.0,10.0,4.0,19.0,13.0,1.0,258.0,"902.226,02","1.498,00"
5,5.0,27/10/2003,15.0,13.0,20.0,2.0,11.0,24.0,9.0,16.0,4.0,23.0,25.0,12.0,8.0,19.0,1.0,2.0,472.0,"380.017,55",687
7,6.0,03/11/2003,23.0,19.0,1.0,5.0,7.0,21.0,16.0,10.0,15.0,25.0,6.0,2.0,12.0,4.0,17.0,2.0,393.0,"489.140,06","1.066,00"
9,7.0,10/11/2003,22.0,4.0,15.0,8.0,16.0,14.0,21.0,23.0,12.0,1.0,25.0,19.0,7.0,10.0,18.0,9.0,1333.0,"104.625,29",301
10,8.0,17/11/2003,19.0,16.0,18.0,9.0,13.0,8.0,5.0,25.0,17.0,10.0,6.0,15.0,1.0,22.0,20.0,1.0,256.0,"1.201.958,08","2.012,00"
11,9.0,24/11/2003,21.0,4.0,17.0,5.0,3.0,13.0,16.0,9.0,20.0,24.0,25.0,19.0,11.0,15.0,10.0,3.0,407.0,"336.053,65","1.061,00"
14,10.0,01/12/2003,24.0,19.0,8.0,23.0,6.0,2.0,20.0,11.0,9.0,3.0,4.0,10.0,5.0,12.0,14.0,0.0,380.0,0,"1.157,00"
15,11.0,08/12/2003,24.0,9.0,8.0,19.0,20.0,22.0,6.0,10.0,11.0,16.0,7.0,25.0,23.0,2.0,12.0,0.0,306.0,0,"1.855,00"
16,12.0,15/12/2003,11.0,5.0,25.0,1.0,9.0,8.0,16.0,4.0,7.0,24.0,17.0,2.0,12.0,14.0,10.0,1.0,631.0,"3.490.966,18",771
17,13.0,22/12/2003,13.0,6.0,10.0,5.0,8.0,14.0,3.0,11.0,16.0,15.0,9.0,17.0,19.0,7.0,23.0,3.0,714.0,"269.157,25",482
20,14.0,29/12/2003,14.0,21.0,13.0,19.0,20.0,6.0,9.0,5.0,7.0,23.0,18.0,1.0,15.0,2.0,25.0,3.0,444.0,"411.362,89","1.191,00"
23,15.0,05/01/2004,23.0,6.0,21.0,4.0,10.0,24.0,16.0,1.0,15.0,2.0,8.0,19.0,12.0,18.0,25.0,22.0,2059.0,"27.525,68",125
45,16.0,12/01/2004,24.0,17.0,5.0,8.0,7.0,12.0,13.0,2.0,15.0,10.0,19.0,25.0,23.0,21.0,6.0,9.0,1086.0,"83.935,77",296
54,17.0,19/01/2004,13.0,20.0,17.0,1.0,6.0,7.0,2.0,14.0,5.0,9.0,16.0,19.0,3.0,21.0,18.0,1.0,320.0,"1.427.169,94","1.911,00"
55,18.0,26/01/2004,2.0,23.0,10.0,7.0,11.0,14.0,17.0,22.0,15.0,6.0,24.0,8.0,19.0,20.0,18.0,3.0,309.0,"487.887,61","2.030,00"
58,19.0,02/02/2004,15.0,17.0,10.0,23.0,11.0,24.0,13.0,14.0,6.0,2.0,8.0,5.0,20.0,16.0,7.0,10.0,818.0,"82.040,05",428
68,20.0,09/02/2004,4.0,9.0,8.0,24.0,16.0,20.0,3.0,17.0,18.0,19.0,7.0,6.0,23.0,14.0,10.0,9.0,931.0,"122.882,04",507
77,21.0,16/02/2004,5.0,2.0,1.0,22.0,19.0,8.0,24.0,4.0,25.0,23.0,18.0,20.0,14.0,11.0,16.0,3.0,316.0,"530.990,23","2.160,00"
80,22.0,25/02/2004,13.0,15.0,5.0,9.0,7.0,10.0,1.0,3.0,22.0,2.0,25.0,14.0,6.0,4.0,12.0,1.0,484.0,"1.081.149,89",957
